name,invokeTime,formattedResponse,functionIntialLoad,functionInnertime,msSinceFunctionLoad,firstRun,serverStart,serverEnd,serverDifference
Test-ping,1711500670006,This function initially loaded at Wed Mar 27 2024 00:51:10 GMT+0000 (Coordinated Universal Time)!,1711500670544,1711500670548,4,1,1711500670006,1711500670780,774
Test-ping,1711500680005,This function initially loaded at Wed Mar 27 2024 00:51:10 GMT+0000 (Coordinated Universal Time)!,1711500670544,1711500680164,9620,,1711500680005,1711500680162,157
